Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-12-03,Personal,Cash,Internet service provider bill,378.85,19.17
2023-12-26,Subscriptions,Online,Amusement park entry fee,179.73,13.49
2023-12-27,Transportation,Online,Fuel refill at Gas Station Name,60.46,2.28
2023-12-23,Groceries,Online,Monthly gym membership fee,52.62,13.89
2023-12-04,Transportation,Cash,Cloud storage subscription payment,481.54,2.06
2023-12-29,Personal,Cash,Streaming service subscription renewal,91.25,7.46
2023-12-19,Transportation,Cash,Vegetables and fruits from local market,242.47,9.82
2023-12-15,Subscriptions,Online,Household essentials purchase,368.99,5.17
2023-12-24,Subscriptions,Online,Streaming service subscription renewal,372.65,4.58
2023-12-02,Subscriptions,Cash,Streaming service subscription renewal,460.32,10.78
2023-12-06,Transportation,Online,Household essentials purchase,22.87,14.01
2023-12-13,Groceries,Cash,Amusement park entry fee,222.77,16.0
2023-12-18,Groceries,Cash,Cloud storage subscription payment,168.22,0.93
2023-12-04,Groceries,Online,Monthly health insurance premium,384.82,6.79
2023-12-15,Transportation,Online,Online course purchase on unacademy,21.68,14.38
2023-12-21,Personal,Online,Vegetables and fruits from local market,53.38,8.68
2023-12-04,Personal,Online,Internet service provider bill,104.74,16.7
2023-12-04,Groceries,Online,Mobile recharge,338.02,15.96
2023-12-19,Subscriptions,Online,Monthly health insurance premium,226.9,19.53
2023-12-05,Personal,Online,Streaming service subscription renewal,438.48,16.55
2023-12-25,Personal,Online,Cloud storage subscription payment,71.0,0.86
2023-12-13,Groceries,Cash,Streaming service subscription renewal,399.21,18.85
2023-12-23,Personal,Online,Household essentials purchase,268.21,3.97
2023-12-29,Transportation,Online,Cloud storage subscription payment,454.57,18.77
2023-12-25,Transportation,Online,Household essentials purchase,354.7,6.19
2023-12-08,Subscriptions,Online,Mobile recharge,200.41,15.37
2023-12-19,Food,Online,Internet service provider bill,242.89,9.81
2023-12-27,Subscriptions,Cash,Amusement park entry fee,181.89,2.93
2023-12-09,Food,Online,Taxi fare for office,46.34,9.62
2023-12-12,Bills,Cash,Vegetables and fruits from local market,150.83,0.29
2023-12-05,Subscriptions,Cash,Monthly gym membership fee,390.71,17.79
2023-12-26,Subscriptions,Cash,Mobile recharge,197.46,10.12
2023-12-25,Food,Online,Cloud storage subscription payment,229.41,13.55
2023-12-10,Food,Online,Cloud storage subscription payment,356.36,11.52
2023-12-28,Transportation,Online,Monthly gym membership fee,457.45,1.35
2023-12-30,Bills,Cash,Online course purchase on unacademy,431.65,0.56
2023-12-27,Groceries,Online,monthly metro pass renewal,351.97,13.38
2023-12-07,Personal,Cash,Household essentials purchase,240.96,5.38
2023-12-05,Transportation,Online,Monthly gym membership fee,205.8,9.85
2023-12-16,Transportation,Online,Mobile recharge,225.68,6.0
2023-12-26,Personal,Cash,Taxi fare for office,362.77,4.96
2023-12-14,Food,Online,Mobile recharge,197.46,5.75
2023-12-19,Groceries,Online,Mobile recharge,28.15,12.43
2023-12-11,Groceries,Cash,Accessories shopping,471.71,15.06
2023-12-08,Transportation,Online,Online course purchase on unacademy,245.8,7.98
2023-12-18,Food,Online,Cloud storage subscription payment,157.43,13.02
2023-12-27,Groceries,Online,Streaming service subscription renewal,60.34,1.05
2023-12-04,Bills,Online,Vegetables and fruits from local market,12.51,12.22
2023-12-17,Groceries,Cash,Fuel refill at Gas Station Name,482.14,19.57
2023-12-28,Groceries,Online,monthly metro pass renewal,482.52,2.08
2023-12-20,Groceries,Online,Monthly health insurance premium,295.03,19.36
2023-12-13,Food,Online,Accessories shopping,322.06,5.69
2023-12-05,Subscriptions,Cash,Internet service provider bill,402.23,9.73
2023-12-09,Bills,Cash,Monthly health insurance premium,404.29,19.2
2023-12-04,Transportation,Cash,Mobile recharge,288.47,6.28
2023-12-03,Transportation,Cash,Fuel refill at Gas Station Name,244.92,6.14
