Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-06-10,Food,Cash,Cloud storage subscription payment,229.71,9.91
2023-06-11,Bills,Cash,Monthly health insurance premium,140.82,13.44
2023-06-08,Transportation,Online,Fuel refill at Gas Station Name,474.35,12.48
2023-06-05,Personal,Online,Accessories shopping,447.05,0.46
2023-06-16,Bills,Online,Accessories shopping,68.68,10.5
2023-06-25,Transportation,Online,Streaming service subscription renewal,235.78,10.71
2023-06-08,Subscriptions,Cash,Monthly gym membership fee,30.15,11.61
2023-06-10,Subscriptions,Cash,Vegetables and fruits from local market,20.41,19.06
2023-06-08,Bills,Cash,Cloud storage subscription payment,91.18,11.25
2023-06-07,Personal,Online,Monthly health insurance premium,109.65,9.28
2023-06-28,Subscriptions,Cash,Fuel refill at Gas Station Name,436.35,1.79
2023-06-05,Transportation,Cash,Internet service provider bill,385.54,6.94
2023-06-29,Transportation,Cash,Internet service provider bill,327.64,15.12
2023-06-21,Bills,Cash,Cloud storage subscription payment,438.65,18.24
2023-06-19,Transportation,Cash,Taxi fare for office,397.3,19.53
2023-06-28,Subscriptions,Cash,Internet service provider bill,401.6,12.6
2023-06-06,Food,Online,monthly metro pass renewal,248.88,1.44
2023-06-02,Transportation,Online,Internet service provider bill,440.73,2.45
2023-06-09,Groceries,Online,Amusement park entry fee,102.75,8.11
2023-06-09,Food,Online,Streaming service subscription renewal,271.61,12.16
2023-06-02,Subscriptions,Online,Fuel refill at Gas Station Name,398.97,10.61
2023-06-03,Transportation,Online,Vegetables and fruits from local market,101.97,19.36
2023-06-15,Subscriptions,Cash,Mobile recharge,113.22,3.43
2023-06-20,Groceries,Online,Accessories shopping,218.98,4.57
2023-06-14,Subscriptions,Online,Accessories shopping,245.36,12.63
2023-06-09,Transportation,Cash,Internet service provider bill,479.25,15.5
2023-06-21,Groceries,Cash,Monthly health insurance premium,28.36,14.44
2023-06-15,Personal,Cash,Vegetables and fruits from local market,320.21,7.62
2023-06-09,Personal,Online,Vegetables and fruits from local market,224.21,5.93
2023-06-21,Subscriptions,Online,Fuel refill at Gas Station Name,262.63,4.99
2023-06-11,Transportation,Online,Internet service provider bill,396.54,13.92
2023-06-09,Personal,Online,Amusement park entry fee,114.1,17.87
2023-06-12,Bills,Cash,Fuel refill at Gas Station Name,235.75,19.22
2023-06-16,Food,Cash,Monthly health insurance premium,98.78,9.41
2023-06-17,Bills,Cash,Internet service provider bill,285.59,2.0
2023-06-20,Transportation,Cash,Streaming service subscription renewal,33.95,12.47
2023-06-11,Transportation,Cash,Monthly gym membership fee,464.58,13.48
2023-06-20,Food,Online,Vegetables and fruits from local market,40.81,17.14
2023-06-08,Personal,Online,Internet service provider bill,362.09,10.27
2023-06-01,Transportation,Cash,monthly metro pass renewal,438.0,16.12
2023-06-21,Transportation,Cash,Household essentials purchase,124.77,16.46
2023-06-05,Bills,Cash,Monthly gym membership fee,251.66,11.45
2023-06-15,Bills,Online,Vegetables and fruits from local market,202.89,8.93
2023-06-23,Subscriptions,Cash,Accessories shopping,475.16,8.19
2023-06-09,Subscriptions,Cash,Taxi fare for office,35.89,4.74
2023-06-07,Bills,Online,Accessories shopping,178.05,0.96
2023-06-12,Personal,Cash,Fuel refill at Gas Station Name,225.7,1.91
2023-06-25,Subscriptions,Online,Cloud storage subscription payment,313.59,12.28
2023-06-01,Subscriptions,Online,Taxi fare for office,369.96,9.46
2023-06-28,Food,Online,Taxi fare for office,476.29,8.42
