Date,Category,Payment Mode,Description,Amount Paid,Cashback
2023-10-19,Housing,Cash,Property Taxes,2166.58,74.22
2023-10-20,Travel,Cash,Local Transportation,945.93,44.98
2023-10-20,Groceries,Cash,Fruits And Vegetables,1355.84,5.33
2023-10-20,Health & Fitness,Cash,Fitness Apps,424.12,3.15
2023-10-21,Groceries,Online,Baking Ingredients,891.64,2.97
2023-10-21,Health & Fitness,Cash,Medical Consultations,2480.15,43.09
2023-10-21,Housing,Cash,Home Security System,3538.1,16.77
2023-10-21,Transportation,Online,Ride-Sharing Services,368.37,17.58
2023-10-21,Dining Out,Online,Dinner At A Restaurant,1118.62,47.61
2023-10-21,Dining Out,Online,Coffee Shop Visit,114.4,4.06
2023-10-22,Travel,Online,Dining While Traveling,1481.42,39.89
2023-10-23,Dining Out,Online,Special Occasion Dinner,3291.44,205.66
2023-10-23,Subscriptions,Cash,Audiobook Services,842.71,78.41
2023-10-23,Subscriptions,Cash,Cloud Storage Services,322.89,24.8
2023-10-24,Entertainment,Cash,Streaming Equipment,3893.96,275.99
2023-10-24,Dining Out,Cash,Coffee Shop Visit,232.05,17.48
2023-10-25,Groceries,Online,Condiments And Spices,922.25,20.32
2023-10-25,Utilities,Online,Waste Disposal Fees,407.26,25.01
2023-10-25,Subscriptions,Online,Cloud Storage Services,386.18,31.69
2023-10-26,Dining Out,Cash,Fast Food Meal,527.76,11.11
2023-10-27,Dining Out,Online,Dinner At A Restaurant,2672.13,69.99
2023-10-27,Entertainment,Cash,Concert Tickets,944.15,36.26
2023-10-27,Entertainment,Cash,Art Supplies,1326.42,31.59
2023-10-27,Dining Out,Cash,Coffee Shop Visit,300.13,0.28
2023-10-28,Dining Out,Online,Street Food,468.39,34.36
2023-10-28,Dining Out,Cash,Snacks From A Convenience Store,474.7,39.48
2023-10-28,Transportation,Cash,Fuel Costs,2377.93,169.23
2023-10-28,Dining Out,Cash,Dinner At A Restaurant,1421.35,87.22
2023-10-29,Utilities,Online,Water Bill,723.52,13.65
2023-10-29,Clothing,Online,Work Attire,2323.54,198.98
2023-10-29,Health & Fitness,Cash,Personal Training Sessions,3735.48,234.21
2023-10-30,Clothing,Cash,Formal Wear,6558.23,27.2
2023-10-30,Dining Out,Online,Coffee Shop Visit,192.79,14.79
2023-10-31,Clothing,Online,Footwear,2630.29,167.95
2023-10-31,Transportation,Online,Vehicle Registration Fees,891.29,86.3
2023-10-31,Travel,Cash,Baggage Fees,1727.78,83.08
