Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-01-18,Subscriptions,Online,Cloud storage subscription payment,404.2,13.19
2023-01-04,Food,Online,Taxi fare for office,295.23,5.89
2023-01-08,Food,Cash,Internet service provider bill,249.89,16.37
2023-01-02,Subscriptions,Cash,monthly metro pass renewal,399.74,5.54
2023-01-06,Personal,Cash,monthly metro pass renewal,479.34,5.81
2023-01-12,Bills,Online,Monthly gym membership fee,474.37,11.44
2023-01-04,Transportation,Online,Taxi fare for office,86.97,3.97
2023-01-01,Personal,Online,Online course purchase on unacademy,71.97,4.14
2023-01-26,Food,Cash,Online course purchase on unacademy,45.36,16.01
2023-01-16,Groceries,Cash,Streaming service subscription renewal,115.0,5.48
2023-01-28,Food,Cash,Amusement park entry fee,299.86,10.2
2023-01-28,Personal,Cash,Streaming service subscription renewal,37.47,12.87
2023-01-25,Bills,Online,Fuel refill at Gas Station Name,185.73,11.31
2023-01-07,Personal,Online,Amusement park entry fee,236.02,11.52
2023-01-01,Transportation,Online,Online course purchase on unacademy,205.22,19.2
2023-01-04,Groceries,Online,monthly metro pass renewal,102.48,0.03
2023-01-21,Subscriptions,Online,Vegetables and fruits from local market,41.11,2.65
2023-01-11,Bills,Cash,Fuel refill at Gas Station Name,76.92,14.78
2023-01-27,Bills,Cash,monthly metro pass renewal,259.39,11.37
2023-01-27,Subscriptions,Online,Accessories shopping,45.03,12.77
2023-01-26,Transportation,Cash,monthly metro pass renewal,87.18,9.56
2023-01-06,Personal,Cash,Household essentials purchase,194.06,19.49
2023-01-29,Personal,Online,Streaming service subscription renewal,311.27,1.81
2023-01-28,Bills,Cash,Household essentials purchase,349.79,1.83
2023-01-26,Bills,Cash,Monthly gym membership fee,36.92,10.91
2023-01-22,Groceries,Online,Vegetables and fruits from local market,343.62,19.04
2023-01-05,Bills,Cash,Cloud storage subscription payment,256.75,12.58
2023-01-28,Transportation,Cash,Household essentials purchase,50.19,4.35
2023-01-16,Bills,Online,Amusement park entry fee,44.91,18.61
2023-01-12,Transportation,Online,Amusement park entry fee,51.0,8.03
2023-01-16,Personal,Online,Streaming service subscription renewal,246.92,16.61
2023-01-28,Transportation,Cash,Taxi fare for office,278.74,16.87
2023-01-28,Groceries,Online,Cloud storage subscription payment,311.01,2.75
