Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-04-23,Groceries,Cash,Vegetables and fruits from local market,188.89,7.43
2023-04-10,Subscriptions,Online,Internet service provider bill,17.82,8.91
2023-04-25,Food,Cash,Amusement park entry fee,220.11,14.2
2023-04-04,Subscriptions,Cash,Streaming service subscription renewal,396.51,12.98
2023-04-08,Transportation,Online,Mobile recharge,102.95,13.4
2023-04-09,Subscriptions,Online,Mobile recharge,96.62,4.73
2023-04-12,Personal,Cash,Monthly gym membership fee,252.44,2.48
2023-04-11,Food,Cash,Streaming service subscription renewal,153.32,18.88
2023-04-08,Food,Online,Mobile recharge,486.8,2.42
2023-04-03,Personal,Online,Streaming service subscription renewal,406.27,3.94
2023-04-21,Bills,Online,Accessories shopping,12.71,6.95
2023-04-03,Food,Cash,Household essentials purchase,429.33,13.45
2023-04-24,Personal,Cash,Streaming service subscription renewal,486.88,11.75
2023-04-17,Food,Online,Vegetables and fruits from local market,127.49,7.63
2023-04-09,Personal,Online,Monthly gym membership fee,308.49,4.88
2023-04-08,Subscriptions,Cash,Household essentials purchase,13.13,2.42
2023-04-25,Personal,Cash,Internet service provider bill,32.55,0.56
2023-04-09,Personal,Online,Fuel refill at Gas Station Name,433.0,13.1
2023-04-21,Subscriptions,Online,Mobile recharge,319.15,10.82
2023-04-11,Subscriptions,Cash,Accessories shopping,418.08,15.8
2023-04-21,Bills,Online,Taxi fare for office,316.98,7.7
2023-04-09,Bills,Online,Internet service provider bill,80.26,16.66
2023-04-20,Transportation,Cash,Streaming service subscription renewal,377.58,7.87
2023-04-21,Groceries,Online,Monthly health insurance premium,27.4,18.41
2023-04-27,Transportation,Cash,Household essentials purchase,324.0,1.85
2023-04-24,Groceries,Cash,Fuel refill at Gas Station Name,15.54,11.96
2023-04-10,Bills,Cash,Amusement park entry fee,108.21,15.28
2023-04-14,Transportation,Online,monthly metro pass renewal,147.86,8.67
2023-04-14,Transportation,Online,Taxi fare for office,470.28,11.7
2023-04-13,Subscriptions,Cash,Taxi fare for office,329.87,8.18
2023-04-14,Bills,Cash,Cloud storage subscription payment,276.01,19.99
2023-04-24,Bills,Cash,Mobile recharge,259.6,3.84
2023-04-09,Transportation,Online,Monthly gym membership fee,161.72,5.64
2023-04-16,Personal,Online,Amusement park entry fee,51.27,3.94
2023-04-01,Subscriptions,Online,Accessories shopping,219.43,12.95
2023-04-21,Groceries,Online,Accessories shopping,352.32,0.57
2023-04-26,Bills,Cash,Internet service provider bill,355.59,7.78
2023-04-15,Personal,Cash,Vegetables and fruits from local market,290.59,10.34
2023-04-18,Food,Online,Vegetables and fruits from local market,406.21,8.96
2023-04-03,Subscriptions,Cash,Amusement park entry fee,125.07,7.83
2023-04-15,Transportation,Cash,Monthly gym membership fee,85.33,10.59
2023-04-15,Bills,Cash,Vegetables and fruits from local market,244.28,7.0
2023-04-25,Food,Online,Monthly health insurance premium,208.11,16.25
2023-04-16,Subscriptions,Cash,Streaming service subscription renewal,15.12,6.57
2023-04-02,Groceries,Online,Amusement park entry fee,198.26,10.85
2023-04-01,Personal,Online,Online course purchase on unacademy,311.4,8.39
2023-04-22,Subscriptions,Cash,Taxi fare for office,323.61,0.23
2023-04-01,Food,Online,Household essentials purchase,329.15,1.12
2023-04-18,Personal,Cash,Accessories shopping,379.42,1.14
