Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-07-08,Transportation,Online,Accessories shopping,202.56,1.49
2023-07-27,Bills,Cash,Amusement park entry fee,72.02,6.04
2023-07-08,Groceries,Online,Cloud storage subscription payment,416.73,19.32
2023-07-07,Bills,Online,Internet service provider bill,69.11,19.56
2023-07-09,Transportation,Cash,Mobile recharge,468.38,16.58
2023-07-24,Food,Cash,Fuel refill at Gas Station Name,402.43,9.52
2023-07-04,Groceries,Online,Monthly health insurance premium,243.11,16.01
2023-07-02,Groceries,Cash,Cloud storage subscription payment,133.26,12.86
2023-07-12,Personal,Cash,Monthly gym membership fee,397.64,10.1
2023-07-08,Food,Online,Amusement park entry fee,383.1,10.3
2023-07-23,Transportation,Online,Monthly health insurance premium,132.93,14.58
2023-07-03,Personal,Online,monthly metro pass renewal,16.48,4.25
2023-07-27,Subscriptions,Cash,Taxi fare for office,215.61,10.18
2023-07-06,Bills,Cash,Cloud storage subscription payment,165.08,15.38
2023-07-30,Bills,Cash,Cloud storage subscription payment,231.09,2.78
2023-07-09,Personal,Online,Household essentials purchase,85.18,2.3
2023-07-25,Subscriptions,Online,Mobile recharge,463.37,6.88
2023-07-14,Bills,Online,Accessories shopping,400.25,9.09
2023-07-25,Bills,Online,Monthly gym membership fee,112.37,8.44
2023-07-17,Food,Cash,Online course purchase on unacademy,301.79,11.02
2023-07-21,Groceries,Cash,Fuel refill at Gas Station Name,67.41,17.8
2023-07-05,Transportation,Cash,Monthly health insurance premium,166.25,17.2
2023-07-06,Personal,Cash,Fuel refill at Gas Station Name,327.07,15.61
2023-07-13,Food,Online,Fuel refill at Gas Station Name,448.94,14.59
2023-07-30,Groceries,Online,monthly metro pass renewal,326.95,5.51
2023-07-21,Groceries,Online,Vegetables and fruits from local market,51.51,8.57
2023-07-11,Food,Online,Monthly gym membership fee,59.64,13.41
2023-07-11,Subscriptions,Cash,Online course purchase on unacademy,13.22,19.49
2023-07-08,Bills,Cash,Fuel refill at Gas Station Name,58.34,13.43
2023-07-30,Transportation,Cash,Internet service provider bill,46.83,17.18
2023-07-26,Food,Online,Internet service provider bill,206.74,15.63
2023-07-09,Transportation,Cash,Monthly health insurance premium,243.28,10.03
2023-07-18,Subscriptions,Cash,Taxi fare for office,437.56,8.07
2023-07-06,Personal,Online,Online course purchase on unacademy,37.85,11.79
2023-07-13,Transportation,Online,Online course purchase on unacademy,285.82,0.53
2023-07-12,Food,Online,Mobile recharge,343.54,1.69
2023-07-20,Personal,Online,Mobile recharge,434.23,1.04
2023-07-08,Transportation,Cash,Online course purchase on unacademy,126.55,14.96
2023-07-06,Groceries,Cash,Monthly gym membership fee,270.44,9.7
2023-07-23,Transportation,Cash,Monthly gym membership fee,233.37,12.7
2023-07-25,Subscriptions,Cash,Accessories shopping,146.81,19.45
2023-07-19,Food,Cash,Online course purchase on unacademy,71.35,1.45
2023-07-14,Personal,Cash,Fuel refill at Gas Station Name,350.11,19.68
2023-07-05,Food,Cash,Online course purchase on unacademy,183.72,9.29
2023-07-05,Subscriptions,Cash,Internet service provider bill,197.66,10.67
