Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-08-21,Food,Cash,Amusement park entry fee,443.58,2.13
2023-08-25,Personal,Cash,Monthly gym membership fee,455.43,10.25
2023-08-22,Food,Cash,Taxi fare for office,193.44,7.46
2023-08-21,Food,Cash,Taxi fare for office,357.92,10.4
2023-08-13,Bills,Online,Monthly gym membership fee,68.84,17.19
2023-08-29,Transportation,Online,Mobile recharge,468.77,13.14
2023-08-04,Food,Cash,Amusement park entry fee,157.44,7.42
2023-08-07,Transportation,Online,Online course purchase on unacademy,398.85,16.52
2023-08-14,Food,Cash,monthly metro pass renewal,151.51,7.79
2023-08-14,Personal,Online,Cloud storage subscription payment,222.2,4.59
2023-08-19,Subscriptions,Cash,Taxi fare for office,491.83,6.08
2023-08-03,Food,Online,Taxi fare for office,432.73,14.22
2023-08-02,Transportation,Online,Internet service provider bill,169.21,1.68
2023-08-26,Transportation,Online,Accessories shopping,431.39,12.74
2023-08-25,Subscriptions,Cash,Fuel refill at Gas Station Name,220.89,12.89
2023-08-20,Groceries,Online,Taxi fare for office,315.88,7.13
2023-08-23,Subscriptions,Cash,Cloud storage subscription payment,292.94,12.63
2023-08-10,Groceries,Cash,Taxi fare for office,61.31,11.85
2023-08-17,Bills,Cash,Vegetables and fruits from local market,187.51,12.99
2023-08-16,Personal,Cash,Vegetables and fruits from local market,39.16,9.01
2023-08-01,Transportation,Cash,Internet service provider bill,33.27,1.89
2023-08-01,Groceries,Cash,Monthly health insurance premium,110.59,19.0
2023-08-18,Bills,Online,monthly metro pass renewal,225.48,15.18
2023-08-12,Subscriptions,Cash,Vegetables and fruits from local market,371.02,14.3
2023-08-29,Subscriptions,Cash,Household essentials purchase,134.29,11.42
2023-08-10,Food,Online,Online course purchase on unacademy,49.44,5.43
2023-08-12,Personal,Online,Cloud storage subscription payment,204.89,0.29
2023-08-29,Personal,Cash,Fuel refill at Gas Station Name,173.73,15.44
2023-08-19,Personal,Online,Monthly health insurance premium,421.09,18.22
2023-08-21,Groceries,Online,Vegetables and fruits from local market,263.23,4.99
2023-08-24,Food,Online,Accessories shopping,392.54,2.89
2023-08-20,Groceries,Cash,Online course purchase on unacademy,498.62,4.41
2023-08-18,Bills,Cash,Taxi fare for office,21.85,10.96
2023-08-27,Food,Online,Vegetables and fruits from local market,387.11,13.92
2023-08-21,Bills,Online,Accessories shopping,164.8,15.09
2023-08-03,Transportation,Online,Streaming service subscription renewal,464.35,8.43
2023-08-02,Subscriptions,Cash,Household essentials purchase,317.77,0.81
2023-08-04,Groceries,Online,Internet service provider bill,253.23,19.59
2023-08-15,Transportation,Cash,Vegetables and fruits from local market,259.29,13.43
2023-08-15,Personal,Online,Mobile recharge,87.76,15.49
2023-08-27,Groceries,Online,Monthly gym membership fee,332.52,17.96
2023-08-07,Groceries,Cash,Monthly health insurance premium,37.65,8.65
2023-08-26,Groceries,Online,Mobile recharge,162.54,2.4
2023-08-23,Bills,Cash,Taxi fare for office,104.18,12.49
2023-08-27,Groceries,Online,Monthly health insurance premium,180.22,18.61
2023-08-18,Groceries,Cash,Household essentials purchase,163.02,15.83
2023-08-07,Personal,Cash,Fuel refill at Gas Station Name,167.39,5.39
2023-08-25,Food,Online,Accessories shopping,73.39,11.8
2023-08-17,Bills,Online,Internet service provider bill,491.19,14.78
2023-08-26,Groceries,Cash,Accessories shopping,78.15,3.83
2023-08-21,Personal,Cash,Online course purchase on unacademy,393.0,6.04
2023-08-27,Subscriptions,Online,Household essentials purchase,226.68,8.5
2023-08-02,Bills,Cash,Monthly health insurance premium,98.09,10.0
2023-08-16,Food,Online,Household essentials purchase,141.42,13.83
2023-08-17,Personal,Cash,Cloud storage subscription payment,383.48,0.36
2023-08-11,Bills,Online,Online course purchase on unacademy,441.88,0.99
2023-08-05,Groceries,Online,Monthly gym membership fee,412.32,1.04
2023-08-16,Personal,Online,Taxi fare for office,62.26,11.97
2023-08-02,Transportation,Cash,Cloud storage subscription payment,461.67,19.1
2023-08-08,Food,Online,Fuel refill at Gas Station Name,46.38,11.73
2023-08-30,Personal,Cash,Fuel refill at Gas Station Name,115.17,9.59
2023-08-08,Groceries,Cash,Mobile recharge,392.12,8.2
2023-08-20,Food,Cash,Amusement park entry fee,116.28,15.08
2023-08-25,Subscriptions,Online,Amusement park entry fee,46.5,17.85
2023-08-08,Transportation,Cash,Online course purchase on unacademy,313.73,3.4
2023-08-17,Transportation,Cash,Accessories shopping,23.81,17.6
2023-08-13,Bills,Online,Taxi fare for office,340.59,1.6
2023-08-20,Personal,Cash,Accessories shopping,13.25,15.88
