Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-02-21,Groceries,Cash,Cloud storage subscription payment,177.24,13.81
2023-02-03,Bills,Cash,Cloud storage subscription payment,482.19,11.54
2023-02-10,Transportation,Online,Monthly gym membership fee,479.94,9.49
2023-02-27,Bills,Cash,Internet service provider bill,442.82,17.99
2023-02-27,Bills,Cash,monthly metro pass renewal,428.04,6.04
2023-02-15,Personal,Cash,Accessories shopping,434.79,17.3
2023-02-09,Personal,Cash,Vegetables and fruits from local market,419.64,12.11
2023-02-26,Groceries,Cash,Streaming service subscription renewal,275.93,18.86
2023-02-04,Transportation,Online,Accessories shopping,422.53,18.23
2023-02-14,Personal,Online,Monthly gym membership fee,161.39,0.12
2023-02-13,Bills,Online,monthly metro pass renewal,372.16,11.47
2023-02-13,Personal,Cash,Household essentials purchase,68.75,4.44
2023-02-15,Bills,Cash,Monthly health insurance premium,37.75,6.24
2023-02-03,Food,Cash,Vegetables and fruits from local market,354.08,6.28
2023-02-27,Bills,Cash,Vegetables and fruits from local market,83.61,7.4
2023-02-22,Subscriptions,Cash,Accessories shopping,280.42,16.49
2023-02-02,Bills,Online,Mobile recharge,162.93,11.68
2023-02-26,Bills,Online,Streaming service subscription renewal,80.84,17.02
2023-02-25,Groceries,Cash,Monthly health insurance premium,43.71,2.45
2023-02-24,Food,Cash,Monthly gym membership fee,287.71,9.73
2023-02-21,Transportation,Online,Taxi fare for office,439.16,17.88
2023-02-26,Subscriptions,Cash,Accessories shopping,137.38,16.33
2023-02-18,Bills,Cash,Fuel refill at Gas Station Name,307.88,7.12
2023-02-13,Groceries,Cash,Accessories shopping,113.02,18.58
2023-02-24,Transportation,Online,monthly metro pass renewal,35.78,3.26
2023-02-11,Groceries,Online,Vegetables and fruits from local market,280.34,12.7
2023-02-02,Groceries,Online,Online course purchase on unacademy,39.61,2.8
2023-02-16,Transportation,Online,Streaming service subscription renewal,454.51,2.82
2023-02-22,Personal,Online,Monthly health insurance premium,476.77,7.42
2023-02-17,Bills,Online,Household essentials purchase,388.67,17.81
2023-02-01,Personal,Cash,Internet service provider bill,31.92,9.05
2023-02-04,Transportation,Cash,Internet service provider bill,287.09,11.58
2023-02-27,Personal,Cash,Online course purchase on unacademy,125.65,16.85
2023-02-25,Transportation,Online,Monthly health insurance premium,485.77,7.1
2023-02-12,Groceries,Online,Streaming service subscription renewal,220.04,12.29
2023-02-24,Personal,Cash,Fuel refill at Gas Station Name,327.87,17.27
2023-02-17,Subscriptions,Online,Fuel refill at Gas Station Name,391.3,0.46
2023-02-05,Subscriptions,Cash,Household essentials purchase,157.99,10.81
2023-02-09,Bills,Online,Fuel refill at Gas Station Name,332.37,18.17
2023-02-22,Transportation,Cash,Mobile recharge,439.69,5.06
2023-02-13,Bills,Cash,monthly metro pass renewal,108.28,15.06
2023-02-15,Personal,Online,Monthly health insurance premium,307.11,4.09
2023-02-09,Transportation,Cash,Mobile recharge,331.28,14.41
2023-02-10,Transportation,Online,Internet service provider bill,346.5,1.83
2023-02-14,Transportation,Cash,Online course purchase on unacademy,420.67,12.44
2023-02-03,Food,Online,Accessories shopping,292.24,10.42
2023-02-18,Food,Online,Accessories shopping,487.71,13.3
2023-02-12,Transportation,Cash,Accessories shopping,175.28,12.61
2023-02-02,Personal,Online,Vegetables and fruits from local market,419.29,10.47
2023-02-10,Subscriptions,Cash,Mobile recharge,83.51,18.31
2023-02-04,Transportation,Online,Household essentials purchase,240.11,18.26
2023-02-26,Personal,Cash,Accessories shopping,161.56,4.49
2023-02-03,Food,Online,Monthly gym membership fee,116.95,16.34
2023-02-18,Personal,Online,Accessories shopping,273.83,15.25
