Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-09-09,Food,Cash,monthly metro pass renewal,445.61,3.05
2023-09-08,Transportation,Cash,Internet service provider bill,376.44,6.14
2023-09-15,Personal,Online,Amusement park entry fee,259.88,10.18
2023-09-27,Subscriptions,Online,Household essentials purchase,212.78,10.39
2023-09-24,Personal,Cash,Mobile recharge,143.25,4.61
2023-09-17,Food,Cash,Monthly health insurance premium,203.35,2.24
2023-09-05,Bills,Cash,Accessories shopping,136.47,17.62
2023-09-04,Transportation,Cash,Household essentials purchase,152.84,19.56
2023-09-09,Personal,Online,Online course purchase on unacademy,253.69,10.42
2023-09-16,Personal,Cash,Amusement park entry fee,209.87,0.86
2023-09-10,Transportation,Cash,Accessories shopping,30.77,15.42
2023-09-13,Transportation,Online,Monthly health insurance premium,84.78,0.52
2023-09-22,Subscriptions,Online,monthly metro pass renewal,324.89,0.83
2023-09-12,Groceries,Cash,monthly metro pass renewal,190.62,1.42
2023-09-09,Bills,Online,Accessories shopping,158.38,17.05
2023-09-26,Transportation,Cash,monthly metro pass renewal,107.6,11.68
2023-09-14,Subscriptions,Cash,Cloud storage subscription payment,435.77,19.68
2023-09-22,Transportation,Online,Mobile recharge,445.34,8.06
2023-09-18,Groceries,Online,Amusement park entry fee,436.5,16.28
2023-09-04,Groceries,Cash,Monthly health insurance premium,446.36,1.78
2023-09-21,Personal,Online,Monthly gym membership fee,119.87,2.89
2023-09-05,Subscriptions,Cash,Household essentials purchase,495.48,13.51
2023-09-12,Food,Online,Monthly gym membership fee,255.13,3.96
2023-09-29,Bills,Cash,Household essentials purchase,72.03,16.13
2023-09-26,Groceries,Online,Streaming service subscription renewal,145.71,7.8
2023-09-13,Personal,Cash,Internet service provider bill,308.77,5.38
2023-09-06,Subscriptions,Online,Monthly health insurance premium,163.02,9.14
