Date,Category,PaymentMode,Description,AmountPaid,Cashback
2023-11-25,Transportation,Online,Household essentials purchase,450.34,8.57
2023-11-11,Personal,Online,Streaming service subscription renewal,337.51,1.79
2023-11-26,Groceries,Online,Internet service provider bill,484.38,5.93
2023-11-10,Personal,Cash,Amusement park entry fee,323.16,18.4
2023-11-28,Food,Cash,Taxi fare for office,234.73,11.81
2023-11-15,Subscriptions,Online,Accessories shopping,412.63,19.8
2023-11-08,Food,Cash,Internet service provider bill,179.12,11.63
2023-11-19,Subscriptions,Online,Fuel refill at Gas Station Name,369.73,16.22
2023-11-19,Bills,Cash,Online course purchase on unacademy,319.93,19.87
2023-11-16,Bills,Online,Accessories shopping,153.69,17.55
2023-11-06,Food,Online,Household essentials purchase,24.77,8.61
2023-11-13,Groceries,Cash,Internet service provider bill,401.97,3.79
2023-11-23,Groceries,Cash,Mobile recharge,356.5,18.01
2023-11-27,Subscriptions,Online,Accessories shopping,419.03,8.41
2023-11-10,Groceries,Cash,Vegetables and fruits from local market,325.29,11.94
2023-11-28,Groceries,Online,Household essentials purchase,428.15,15.39
2023-11-15,Personal,Cash,Vegetables and fruits from local market,307.18,0.98
